PREDICATION_ID,PMID,PREDICATE,INDICATOR_TYPE,PREDICATE_START_INDEX,PREDICATE_END_INDEX,SUBJECT_TEXT,SUBJECT_SEMTYPE,SUBJECT_START_INDEX,SUBJECT_END_INDEX,SUBJECT_SCORE,SUBJECT_DIST,SUBJECT_MAXDIST,SUBJECT_CUI,SUBJECT_NOVELTY,OBJECT_TEXT,OBJECT_SEMTYPE,OBJECT_START_INDEX,OBJECT_END_INDEX,OBJECT_SCORE,OBJECT_DIST,OBJECT_MAXDIST,OBJECT_CUI,OBJECT_NOVELTY,TYPE,SENTENCE,LABEL
P3120,2474765,INTERACTS_WITH,NOM,207,220,disulfiram,orch,160,170,1000,1,3,C0012772,1,tryptophan,aapp,196,206,833,0,3,C0041249,1,ti,Effects of disulfiram and coprine on rat brain tryptophan hydroxylation in vivo.,y
P3121,7763291,INTERACTS_WITH,NOM,319,325,glutathione diethyl ester,aapp,404,429,916,2,11,C0247666,1,reduced glutathione,aapp,329,348,1000,1,11,C0034917,1,ab,"The effect of reduced glutathione, reduced glutathione monoethyl ester and       reduced glutathione diethyl ester on the cellular concentration of reduced       glutathione and cysteine in P388D1 macrophages in vitro, and the cellular and       extracellular de-esterification of reduced glutathione esters, was investigated.",n
P3122,1747069,STIMULATES,VERB,184,194,acetaldehyde,orch,171,183,1000,1,2,C0000966,1,collagen,gngm,195,203,888,1,2,C0009325,1,ti,Chronic intoxication with acetaldehyde stimulates collagen biosynthesis in rat       liver.,y
P3123,1158328,INTERACTS_WITH,NOM,1235,1245,aromatic amino acids,aapp,1255,1275,1000,1,2,C0301713,1,phenols,orch,1281,1288,1000,2,2,C0031428,1,ab,A model       of membrane-bound multienzyme complexes is proposed for the conversion of       aromatic amino acids into phenols.,n
P3124,7667799,INTERACTS_WITH,NOM,202,214,drugs,phsu,231,236,1000,2,5,C0013227,0,alcohol,orch,218,225,1000,1,5,C0001962,1,ab,"Interactions of alcohol with drugs are numerous, varied sometimes with an inverse       effect according to acute or chronic consumption.",y
P3125,8780527,STIMULATES,ADJ,1742,1749,stromelysin-1,aapp,1672,1685,861,3,3,C0164371,1,casein,gngm,1897,1903,861,5,5,C0007332,1,ab,The wild-type       stromelysin-1 and the cysteine mutants (C75S and C75H) underwent APMA-induced       activation as determined by the characteristic reduction in molecular weight       associated with activation and by their ability to cleave casein only when       activated.,n
P3126,3495800,INTERACTS_WITH,NOM,964,971,Lactoferrin,aapp,897,908,1000,2,2,C0022942,1,CSFs,aapp,1000,1004,884,1,1,C0009392,1,ab,Lactoferrin was used to enhance detection       of the stimulating effects of exogenously administered CSFs.,n
P3127,7975381,INTERACTS_WITH,NOM,623,629,muscle proteins,aapp,592,607,1000,1,2,C0026832,1,trypsin,aapp,615,622,888,0,2,C0041236,1,ab,"Resistance of muscle proteins to the trypsin effect was unaltered, while the rate       of pronase-induced hydrolysis was slightly increased, about 1.2-fold.",y
P3128,8672172,INHIBITS,VERB,492,500,thiamine,orch,482,490,1000,1,3,C0039840,1,vitamin,orch,529,536,1000,2,5,C0042890,1,ab,"Among these mechanisms are inadequate dietary intake of       thiamine, impaired intestinal transport of the vitamin and decreased conversion       of thiamine to the active coenzyme.",n
P3129,562505,INTERACTS_WITH,NOM,1049,1055,amylase,aapp,1125,1132,851,2,2,C0002712,1,caerulein,aapp,1059,1068,1000,1,2,C0006639,1,ab,"Under these conditions, the depolarizing effect of caerulein was almost       abolished, while the caerulein-induced amylase was not.",n
P3130,1851510,INTERACTS_WITH,VERB,547,555,insulin-like growth factor-I,aapp,510,538,1000,2,7,C0021665,1,gonadotrophins,aapp,565,579,1000,1,2,C0018061,1,ab,There is increasing evidence implicating growth factors in the regulation of       spermatogenesis and in-vitro studies have shown that epidermal growth factor       (EGF) and insulin-like growth factor-I (IGF-I) interact with the gonadotrophins       in regulating testicular function.,y
P3131,8915365,INTERACTS_WITH,NOM,138,144,immediate early       response genes,gngm,196,232,916,3,4,C0206256,1,taurine,gngm,148,155,1000,1,4,C0039350,1,ti,Effect of taurine on angiotensin II-induced expression of immediate early       response genes in primary cultured neonatal rat heart cells.,y
P3132,6160464,INTERACTS_WITH,NOM,152,159,nucleotides,nnon,177,188,827,1,6,C0028630,1,restriction endonuclease,aapp,194,218,1000,2,6,C0012906,1,ti,Binding of non-substrate nucleotides to a restriction endonuclease: a model for       the interaction of bam HI with its recognition sequence.,y
P3133,1820064,INTERACTS_WITH,NOM,612,622,esters,orch,570,576,827,1,1,C0014898,1,trypsin,aapp,627,634,1000,1,2,C0041236,1,ab,Carboxamido       methyl esters (CAM-esters) are the most suitable substrates for trypsin catalyzed       peptide synthesis.,y
P3134,8881023,INTERACTS_WITH,NOM,150,157,alpha1,gngm,212,218,1000,4,6,146,1,leucine,gngm,170,177,872,1,6,C0023401,1,ti,Effects of mutating leucine to threonine in the M2 segment of alpha1 and beta1       subunits of GABAA alpha1beta1 receptors.,n
P3135,5563452,INTERACTS_WITH,NOM,828,837,lipase,aapp,980,986,1000,8,28,C0023764,1,nitrobenzene,orch,815,827,828,0,6,C0028144,1,ab,"Identification of the composition of the strands and       bundles as lignin is consistent with the following observations: alkaline       nitrobenzene oxidation of the strands to compounds which resemble monomers of       wood lignin; resistance of the strands to pronase, trypsin, pectinase, and       lipase; strong irreversible adsorption of heavy metals; deposition of silver       granules by treatment with silver nitrate-hexamine reagent; extraction of the       bundles with aqueous dioxane (Bjorkman procedure); presence in quantity of a       structured form of Klason lignin; and existence of material giving a positive       test with the Wiesner reagent.",n
P3136,9222895,INTERACTS_WITH,NOM,2267,2275,amino       acids,aapp,2114,2131,901,3,4,C0002520,1,amiloride,orch,2257,2266,736,0,4,C0002502,1,ab,"A stretch of 15 amino       acids, immediately before the second transmembrane domain of the beta subunit,       was identified as the domain conferring lower amiloride affinity to the alpha       beta channels.",y
P3137,1768277,INTERACTS_WITH,NOM,740,749,alcohol,orch,625,632,840,2,3,C0001962,1,pyridine nucleotide,nnon,720,739,901,0,3,C0597331,1,ab,A direct HPLC method for alcohol metabolite determination instead       of the indirect spectrophotometric recording of pyridine nucleotide oxidation at       340 nm was applied.,n
P3138,6295174,INTERACTS_WITH,NOM,658,667,hydroxyproline,aapp,596,610,1000,2,5,C0020388,1,collagen,aapp,682,690,888,1,40,C0009325,1,ab,"The lung content of       protein, proline, and hydroxyproline (collagen) were quantitated, as were the       synthesis rates of lung collagen and the total lung protein (evaluated with lung       minces in vitro. The ratio of newly synthesized and of total lung Type I to Type       III collagen was also determined. These experiments were performed in parallel on       rats free of chronic respiratory disease and a strain of conventional animals.       The authors conclude that 1) the excess collagen deposited in granulomas and/or       silicotic nodules as part of the fibrotic response of the lung is similar to       normal lung collagen with respect to relative ratios of Types I and III present,       in contrast to the response of the lung to oxidant pneumotoxins; 2) the response       of the lung to silica continues for at least 1 year; 3) there are essentially no       differences in the response of chronic respiratory disease-free Sprague-Dawley       and conventional Wistar rat",n
P3139,7754864,INHIBITS,VERB,1552,1559,ANP,aapp,1492,1495,1000,2,3,C0027481,1,water,inch,1566,1571,888,1,3,C0043047,1,ab,The present results       confirm that centrally administered ANP may act directly on the central nervous       system to inhibit brain water and sodium accumulation in SAH-induced brain       oedema.,y
P3140,7400325,STIMULATES,NOM,1139,1147,synthetase,aapp,1226,1236,901,3,3,C0023689,1,aspartate,gngm,1171,1180,1000,1,3,C0085845,1,ab,"Animals injected       with methylmalonate showed an increase in both citrulline and aspartate,       suggesting that argininosuccinic acid synthetase may also have been inhibited.",n
P3141,8088708,STIMULATES,VERB,929,937,IGFs,aapp,963,967,966,2,2,C0037657,1,insulin,gngm,720,727,1000,9,9,C0021641|3630,1,ab,"As the insulin and IGF-I receptors are both structurally and functionally       similar, one of the fundamental questions in this area of research has been the       basis for the distinct pathways of hormone action elicited by insulin and the       IGFs.",n
P3142,7539106,INTERACTS_WITH,VERB,532,546,hER,aapp,487,490,852,4,7,C1521863|2099,1,tyrosine,aapp,550,558,1000,1,2,C0041485,1,ab,Its reactivity to the antiphosphotyrosine 4G10 monoclonal antibody by Western       blot analysis demonstrated that the human estrogen receptor (hER) from human       MCF-7 cells and the recombinant hER expressed in Sf9 insect cells were       phosphorylated on tyrosine(s).,y
P3143,7400241,INTERACTS_WITH,ADJ,732,741,plasma membrane proteins,aapp,629,653,905,3,5,C1179841,1,iodide,inch,763,769,1000,1,1,C0021966,1,ab,Changes in organization of       the eosinophil plasma membrane proteins during interaction with the agar layer       were detected by lactoperoxidase-catalysed iodination with [125]iodide.,n
P3144,4417532,INTERACTS_WITH,VERB,590,598,chymotrypsin,aapp,577,589,1000,1,2,C0008742,1,rhodopsin,aapp,599,608,1000,1,9,C0035499|6010,1,ab,"Thermolysin and chymotrypsin degraded rhodopsin (apparent mol wt 35,000-36,000)       to fragments of 29,000 and 23,000 apparent mol wt, respectively, without       affecting the chromophoric absorption of the molecule or removing the region of       the polypeptide carrying carbohydrate.",y
P3145,1400633,INTERACTS_WITH,NOM,1510,1517,NEP-B,aapp,1521,1526,694,1,2,C0025250,1,chromatin,aapp,1530,1539,1000,2,2,C0008546,1,ab,"Treatment of NEP-B with       metaphase cytosol, under conditions where proteins are irreversibly       phosphorylated, inhibited the subsequent assembly of the nuclear envelope by       preventing the binding of NEP-B to chromatin.",y
P3146,2159326,STIMULATES,ADJ,1059,1069,serine,aapp,1015,1021,1000,2,4,C0036720,1,MAP-2 kinase,gngm,1100,1112,913,1,1,C0752312|27352,1,ab,This enzyme is activated by       phosphorylation on serine and threonine residues by an insulin-stimulated protein       kinase known as MAP-2 kinase.,n
P3147,3572557,INTERACTS_WITH,VERB,1956,1963,retinol,orch,1915,1922,694,2,2,C0042839,1,RBP,aapp,1964,1967,1000,1,4,C0035342,1,ab,It is suggested that retinol transport in the       fetus may involve RBP and TTR synthesized in the yolk sac as well as in fetal       tissue.,y
P3148,8548296,INTERACTS_WITH,NOM,1512,1518,quisqualic acid,aapp,1658,1673,1000,5,9,C0080074,1,glutamate,aapp,1528,1537,1000,1,9,C0220839,1,ab,"This potentiating effect       of glutamate appears to be mediated specifically through NMDA receptor as it can       be mimicked by NMDA but not by kainic acid or quisqualic acid, and blocked by the       NMDA receptor antagonist 2-amino-5-phosphonovalerate (APV), but not by       6-cyano-7-nitroquinoxaline-2,3-dione (CNQX), a non-NMDA glutamate receptor       antagonist.",n
P3149,8654367,STIMULATES,NOM,236,244,crystallin,gngm,199,209,756,2,2,C0010422,1,glutathione,gngm,248,259,1000,1,5,C0017817,1,ti,"Human hsp27, Drosophila hsp27 and human alphaB-crystallin expression-mediated       increase in glutathione is essential for the protective activity of these       proteins against TNFalpha-induced cell death.",y
P3150,8971815,STIMULATES,ADJ,1024,1031,Dex,phsu,1009,1012,1000,1,1,C0011777,1,glutamate,gngm,1096,1105,840,1,3,C0017789,1,ab,This indicates that Dex and stress-induced somatostatin (SS)       secretion is not mediated by endogenous glutamate variations but likely by       activation of NMDA receptors.,n
P3151,8680437,INTERACTS_WITH,VERB,2181,2188,peptides,aapp,2141,2149,1000,1,8,C0030956,1,LH,aapp,2206,2208,1000,2,8,C0023607,1,ab,These results provide support for the hypothesis that EAA       mechanisms operate in the hypothalamus to regulate the release of peptides and       catecholamines which control the secretion of LH and prolactin from the pituitary       gland; different sub-types of EAA receptors are involved in the control of the       two pituitary hormones.,y
P3152,7770008,STIMULATES,NOM,206,215,fluorides,inch,178,187,824,1,2,C0016327,1,protein kinase C,gngm,189,205,822,0,2,C0033634|64663,1,ti,"Effects of G-protein activator fluorides, protein kinase C activator phorbol       ester and protein kinase inhibitor on insulin binding and hormonal imprinting of       Tetrahymena.",n
P3153,8499445,INTERACTS_WITH,NOM,185,192,cysteine,aapp,196,204,872,1,3,C0010654,1,lactose       permease,aapp,220,242,1000,2,3,C0064612,1,ti,"Exchange, efflux, and substrate binding by cysteine mutants of the lactose       permease of Escherichia coli.",n
P3154,3457037,INTERACTS_WITH,NOM,549,556,antioxidants,phsu,588,600,861,4,7,C0003402,1,vitamins,orch,560,568,1000,1,7,C0042890,1,ab,"This is clearly the case for       the effects of vitamins A, C, E, synthetic antioxidants and selenium on the risk       of cancer.",n
P3155,831827,INTERACTS_WITH,NOM,909,916,S-adenosylmethionine,aapp,926,946,1000,1,5,C0036002,1,protein,aapp,950,957,1000,2,5,C0033684,1,ab,Dopamine       appeared to interfere with the binding of S-adenosylmethionine to the weanling       rat liver protein preparation but did not affect the binding of       S-adenosylmethionine to protein in several systems in which dopamine did not       inhibit tRNA methylase activity.,y
P3156,2071940,INTERACTS_WITH,VERB,924,929,retinol,orch,613,620,1000,2,10,C0042839,1,RBP,aapp,939,942,1000,1,1,C0035342,1,ab,"During the first hour of       incubation, the rate of [3H]retinol accumulation by HKc was about 40 times       greater when the vitamin was added directly to the media rather than bound to       RBP.",n
P3157,8632228,INHIBITS,VERB,1035,1044,carboxylic acid,orch,1002,1017,824,1,6,C0007066,1,L-Met,gngm,1049,1054,645,1,1,C0025646,1,ab,"Concentrations (100 mmol/L) of D-Met, the L-isomers of neutral       amino acids and 2-aminobicyclo[2.2.1]heptane-2-carboxylic acid completely       inhibited 35S-L-Met transport.",y
P3158,2797219,INHIBITS,VERB,1218,1225,EDTA,orch,1229,1233,1000,1,1,C0013618,1,Mg2,gngm,1204,1207,1000,1,12,4589|57192,1,ab,"This failure of complete conversion from       high- to low-affinity state was also seen in membranes from rat testes under the       same experimental conditions and, moreover, in guinea-pig brain membranes under       different experimental conditions, such as in the presence of Na+ or when free       Mg2+ has been reduced by EDTA.",n
P3159,11016804,STIMULATES,ADJ,1520,1527,Benidipine,orch,1470,1480,1000,1,1,C0053108,1,leucine,gngm,1545,1552,1000,2,7,C0023401,1,ab,"Benidipine significantly       decreased the ET-1-induced increase of [3H]-leucine and [3H]-thymidine uptake       into cardiac MCs and NMCs, whereas no significant effects of nifedipine were       observed.",n
P3160,6141807,INHIBITS,NOM,1545,1555,alcohols,orch,1499,1507,888,1,1,C0001975,1,Mg2+-ATPase,gngm,1559,1570,1000,1,2,C0001477|4589|57192,1,ab,"Only the first alcohols, however, produced       any notable inhibition of Mg2+-ATPase and sucrase.",y
P3161,2307116,STIMULATES,VERB,2290,2298,E+C,orch,2283,2286,775,0,1,C0006644,1,adipsin,gngm,2299,2306,901,1,4,C0033457|1675,1,ab,"Thus, the ability of E+C to increase adipsin gene expression correlated with its       ability to reverse obesity in these two models.",y
P3162,8391998,INHIBITS,VERB,977,986,peptide,aapp,945,952,1000,2,2,C0030956,1,LH,aapp,987,989,1000,1,3,C0023607,1,ab,"The peptide (100       microM) also inhibited LH and GH exocytosis stimulated by phorbol myristate       acetate plus cAMP by more than 45% and 80%, respectively.",y
P3163,6120788,INTERACTS_WITH,NOM,145,154,growth hormone,aapp,164,178,901,1,5,C0037663,1,water,inch,182,187,1000,2,5,C0043047,1,ti,Influence of ovine growth hormone on water and NaCl absorption by the rat       proximal jejunum and distal ileum.,y
P3164,2127386,STIMULATES,VERB,964,973,EDTA,orch,997,1001,1000,1,7,C0013618,1,LLH,gngm,956,959,851,1,1,C0020289,1,ab,Serum LLH was activated by thiol compounds and EDTA and       strongly inhibited by sulfhydryl reagents whereas serum LPH was inhibited by       sulfhydryl reagents but not activated by thiol compounds or EDTA.,y
P3165,6827461,INTERACTS_WITH,NOM,619,626,salicylates,orch,630,641,1000,1,2,C0036077,1,albumin,aapp,651,658,1000,2,2,C0001924,1,ab,"After checking the models on       simulated data, they were applied to real data on the binding of salicylates to       albumin.",y
P3166,740129,INTERACTS_WITH,NOM,147,154,amino acids,aapp,200,211,901,3,5,C0002520,1,3-acetylpyridine,orch,158,174,1000,1,5,C0047195,1,ti,Effects of 3-acetylpyridine on the levels of several amino acids in different CNS       regions of the rat.,y
P3167,7956289,INTERACTS_WITH,NOM,1251,1257,arginine,aapp,1189,1197,791,3,6,C0003765,1,vasopressor,phsu,1239,1250,851,0,6,C0042397,1,ab,"MEASUREMENTS AND MAIN RESULTS: Both       dobutamine and NG-methyl-L-arginine alone had a small, but significant       vasopressor effect on control animals.",n
P3168,6323425,INTERACTS_WITH,NOM,276,283,nucleotides,nnon,453,464,861,6,6,C0028630,1,thyrotropin-releasing hormone,aapp,287,316,1000,1,6,C1421143|7200,1,ab,Binding of thyrotropin-releasing hormone (TRH) to specific receptors on membranes       isolated from GH4C1 pituitary cells was inhibited by monovalent cations and       guanyl nucleotides.,y
P3169,12042304,INTERACTS_WITH,NOM,810,825,MAPKs,aapp,796,801,966,1,5,C0752312,1,threonine,aapp,829,838,1000,1,3,C0040005,1,ab,"Although unique in its structure,       ERK5 is activated in analogy to other MAPKs by dual phosphorylation of threonine       and tyrosine residues in its activation motif.",y
P3170,1991139,INTERACTS_WITH,NOM,914,924,peptides,aapp,834,842,1000,3,3,C0030956,1,bile acid transporter,aapp,952,973,923,1,1,C0618375,1,ab,All peptides tested inhibited       the uptake of physiological and of some foreign substrates of the multispecific       bile acid transporter (MT).,y
P3171,9418037,INHIBITS,VERB,1032,1041,Glutamic acid,aapp,941,954,1000,5,5,C0061472,1,serine,aapp,970,976,1000,3,5,C0036720,1,ab,"Glutamic acid, glutamine and serine were poor acceptors,       and the enzyme activity was inhibited by these amino acids.",n
P3172,13802971,STIMULATES,VERB,199,209,dinitrophenol,orch,213,226,1000,1,1,C0012466,1,inorganic phosphate,inch,165,184,1000,2,3,C0031603,1,ti,Need for inorganic phosphate in oxidations stimulated by dinitrophenol.,n
P3173,1553756,INTERACTS_WITH,NOM,2550,2561,picoline,orch,2695,2703,861,4,8,C0031883,1,glutathione,aapp,2538,2549,888,0,1,C0017817,1,ab,"The Vmax of glutathione conjugation to the substrate       1-chloro-2,4-dinitrobenzene decreased by 52, 36, 59, 41, 37, and 32% in hepatic       cytosol isolated from 4-picoline-, pyrrole-, pyridine-, pyrazine-, imidazole-,       and piperidine-treated rabbits, respectively.",n
P3174,842630,STIMULATES,VERB,587,596,phenylalanine,aapp,514,527,1000,6,10,C0031453,1,aspartate,gngm,620,629,1000,5,9,C0085845,1,ab,"The beta-adrenergic agonist inhibited the accumulation  of alanine,       threonine, phenylalanine, tyrosine, lysine, arginine, leucine, and valine and       increased the loss of glutamate, aspartate, serine, and isoleucine from the pool       of free amino acids in perfusate and muscle.",n
P3175,1100534,STIMULATES,ADJ,382,391,alcohol,orch,410,417,1000,2,10,C0001962,1,tranquilizers,phsu,257,270,1000,4,6,C0040614,1,ab,"If the abuse potential of tranquilizers, and particularly benzodiazepines, is       examined by their administration as a therapeutic agent to persons dependent on       alcohol, alcohol and drugs, or drugs alone, these substances are found to be       potentially dependence producing with similar mechanisms to those of other       hypnotics and sedatives.",n
P3176,518837,INTERACTS_WITH,NOM,980,987,tryptophan,aapp,1002,1012,791,1,2,C0041249,1,alpha-chymotrypsin,aapp,1026,1044,877,2,2,C0764105,1,ab,"From kinetic studies of competitive inhibition with N-acetyl-L-tryptophan ethyl       ester as substrate, an equilibrium constant of 1300 M-1 was determined for the       binding of N-acetyl-L-tryptophan to monomeric alpha-chymotrypsin.",y
P3177,1726455,INTERACTS_WITH,VERB,505,514,trypsin,aapp,518,525,1000,1,3,C0041236,1,Arg,aapp,381,384,1000,4,6,27|473,1,ab,"Insertion of Xaa-Arg or       Xaa-Lys into a BPTI fragment lacking P1' = Ala16 and P2' = Arg17 was carried out       in a ""one pot"" reaction catalysed by trypsin in the presence of 80% 1,4       butanediol.",y
P3178,8558371,INTERACTS_WITH,NOM,1093,1099,lipoate,orch,1176,1183,1000,5,6,C0178731,1,myricetin,orch,1103,1112,1000,1,6,C0067067,1,ab,"At equimolar       concentrations (100 microM) the antioxidant effect of myricetin was better than       that of other known antioxidants such as lipoate, alpha-tocopherol and       beta-carotene.",n
P3179,8535644,INTERACTS_WITH,NOM,1870,1877,folate,orch,1863,1869,733,0,3,C0178638,1,TS,orch,1895,1897,1000,1,2,C0041044,1,ab,(e) Trimethoprim-sulphamethoxazole (TS)       toxicity is well documented and may be related to synergistic anti-folate effects       of MTX and TS.,n
