,id,sentence1,sentence2,label,split
1587,P4687,"the unlinked form i and form ii calvin cycle co2 fixation (cbb) operons of the photosynthetic bacterium rhodobacter sphaeroides are located on different genetic elements, yet both operons are positively regulated by the transcription activator protein cbbr, the product of the cbbr gene located immediately upstream of the form i operon.",transcription activator interacts with operons,0,train
149,P3249,"finally, we show that the phosphatase inhibitor orthovanadate acts as does chi to render cells susceptible to tnf, suggesting that resistance to tnf may depend on tnf's ability to induce the expression of tyrosine or dual specificity phosphatase(s).",tnf stimulates phosphatase,0,train
2722,P5822,a factor in serum which accelerates the conversion of prothrombin to thrombin; its relationship to the coagulation defect of thrombocytopenic blood.,prothrombin interacts with thrombin,0,train
1763,P4863,it was considered that aap showed its platelet aggregation inhibitory activity by decreasing intracellular ca2+ concentration through the inhibition of ca-pde activity.,ca2 inhibits pde,0,train
964,P4064,"however, in cells expressing an activated cytoplasmic protein-tyrosine kinase, p60v-src, or stimulated with epidermal growth factor, gap becomes phosphorylated on tyrosine and serine and forms distinct complexes with two phosphoproteins of 62 and 190 kda (p62 and p190).",gap interacts with serine,1,train
2193,P5293,factors controlling the inhibition by sulfonamides of carboxylases.,sulfonamides inhibits carboxylases,1,train
1568,P4668,"by using calcium ion channel antagonists such as verapamil and nifedipine, we demonstrated that calcium ion channels are involved in human chorionic gonadotropin (hcg) secretion stimulated by gonadotropin releasing hormone (gnrh).",gonadotropin releasing hormone stimulates human chorionic gonadotropin,1,train
2116,P5216,the effects of decreasing doses of oestrogen and increasing doses of progesterone on the transport of artificial eggs through the reproductive tract of ovariectomized rabbits.,oestrogen stimulates progesterone,0,train
2295,P5395,"the effect of antibacterial agents on the intestinal flora of patients: the use of aureomycin, chloromycetin, dihydrostreptomycin, sulfasuxidine and sulfathalidine.",chloromycetin interacts with antibacterial agents,0,train
2919,P6019,[the fixation of l-thyroxin labeled with i-131 in the isolated rat diaphragm. iv. changes induced with salicylate].,salicylate stimulates of l-thyroxin,1,train
2173,P5273,"effects of acth, cortisone, desoxycorticosterone and epinephrine on the plasma hypertensinogen and renin concentration of dogs.",cortisone interacts with hypertensinogen,1,train
836,P3936,"since shortening the side chains of trp-800, arg-812, and leu-813 in smooth muscle myosin light chain kinase abrogated calmodulin-dependent activation (bagchi, i. c., huang, q., and means, a. r. (1992) j. biol. chem. 267, 3024-3029), substitutions were introduced at positions in calmodulin which contact residues corresponding to arg-812 and leu-813 in the smooth muscle myosin light chain kinase peptide.",smooth muscle myosin light chain kinase stimulates leu,0,train
1520,P4620,"the human prostate-specific kallikreins, human glandular kallikrein-1 (hklk2) and prostate-specific antigen (hklk3), have been shown to be regulated by androgens.",androgens interacts with prostate-specific kallikreins,1,train
2545,P5645,effects of chlorpromazine on the metabolism of dl-2-c14-dopa in the rat.,dopa interacts with chlorpromazine,1,train
2354,P5454,comparison of monoamine oxidase inhibitory effects of iproniazid and its phenyl congener.,monoamine oxidase inhibitory interacts with iproniazid,0,train
2279,P5379,inhibition of hyaluronidase by hydroquinones and quinones.,hydroquinones inhibits hyaluronidase,1,train
2104,P5204,"with only minor exceptions, the strains were found to be sensitive to novobiocin, erythromycin, fusidic acid, and lincomycin, and slightly less sensitive to vancomycin and chloramphenicol.",lincomycin interacts with vancomycin,0,train
1099,P4199,the binding of igf-1 to its receptor on intact cells was unaffected by ethanol.,igf-1 interacts with receptor,1,train
1212,P4312,"we have previously reported in two cases of acute myelomonocytic leukemia (m4) that there was a great difference between 3,3'-diaminobenzidine (dab) and 3-amino 9-ethyl carbazole (3ac) as substrates for po reaction.",carbazole interacts with po,1,train
171,P3271,"body weight, hemoglobin, hematocrit, and viable cell yield of pups were significantly decreased with decreasing dietary iron.",dietary iron inhibits hemoglobin,1,train
2285,P5385,[thin-layer chromatography of some etiocholenic acids resulting from oxidation of corticosteroids].,etiocholenic acids interacts with corticosteroids,0,train
1080,P4180,"all of the histidine mutants exhibited decreased thermal stability as compared with wild-type thioredoxin; however, the introduction of an additional mutation, d26a, increased their melting temperatures beyond that of wild-type thioredoxin.",histidine inhibits thioredoxin,0,train
1968,P5068,"thiol alkylating or oxidizing agents also prevent the anaphylactic release of histamine, but in contrast to the situation with diisopropylfluophosphate and the other chymotrypsin inhibitors, the phase of the anaphylactic reaction inhibited by n-ethylmaleimide is available prior to the antigen-antibody interaction.",n-ethylmaleimide inhibits chymotrypsin inhibitors,0,train
2596,P5696,effect of acetoacetate on the succinic acid oxidase system.,acetoacetate interacts with succinic acid oxidase,1,train
1419,P4519,the decreased pgf and pge2 production associated with this decreased bone resorption in the presence of non-toxic concentrations of indomethacin would suggest a role for these prostaglandins in maintaining the basal resorption of cultured bone.,pgf inhibits indomethacin,0,train
2767,P5867,[decrease of antibiotic effect of tetracyclines by the action of staphylococci].,antibiotic interacts with tetracyclines,0,train
2595,P5695,inhibition of alpha-glycerophosphate dehydrogenase by cinnamic acids.,cinnamic acids inhibits alpha-glycerophosphate dehydrogenase,1,train
396,P3496,(3)h-leucine and (14)c-glucosamine incorporation were used as markers for protein and glycoprotein synthesis and secretion.,leucine interacts with glycoprotein,0,train
2540,P5640,"relation between sensitivity to thiopentone, sulphonamides, and sunlight.",sulphonamides interacts with thiopentone,1,train
777,P3877,"in contrast, oral substitution of creatine-monohydrate led to a significant increase of brain creatine, a decrease of brain guanidinoacetate, and a normalization of creatinine in serum and urine.",guanidinoacetate stimulates creatine,0,train
2514,P5614,"effects of adrenergic blocking agents on epinephrine- and 3',5'-amp-induced responses in the perfused rat liver.",adrenergic blocking agents interacts with epinephrine,1,train
289,P3389,effects of adrenalectomy and adrenal steroids on norepinephrine synthesis and monamine oxidase activity.,steroids interacts with oxidase,1,train
1694,P4794,"exogenous estrogen restored acetylcholine-induced vasodilation (maximum percent increase in forearm blood flow: 548.9 +/- 43.1%; p < .01 versus ovariectomy), which was no longer different from baseline, whereas the response to sodium nitroprusside was not affected (maximum percent increase in forearm blood flow: 480.2 +/- 39.3%; p = ns).",estrogen stimulates sodium nitroprusside,0,train
980,P4080,on the pyridoxal-5'-phosphate stimulation of aspartate aminotransferase and alanine aminotransferase in serum and erythrocytes of patients undergoing chronic haemodialysis and with kidney transplants.,pyridoxal-5'-phosphate stimulates aspartate aminotransferase,1,train
1724,P4824,"we have studied steady state levels of mrna for the genes in the igf-i axis in normal and cirrhotic human liver, localised the most highly expressed gene, igfbp-1, and measured circulating igfbp-3 by radioimmunoassay (ria), igfbp-2 and igfbp-3 by western ligand blot (wlb), and protease activity for igfbp-3 in cirrhotic patients.",genes interacts with igfbp-1,0,train
2681,P5781,adenosine inhibition of the synthesis of the pyrimidine is partially relieved by histidine or succinate.,succinate inhibits pyrimidine,0,train
1600,P4700,"release of glucokinase is most rapid at low ionic strength (300 mm sucrose, 3 mm hepes) and is inhibited by increasing concentration of kcl [concn. giving half-maximal inhibition (i50) 25 mm] or mg2+ (i50 0.5 mm).",glucokinase stimulates hepes,0,train
1451,P4551,interaction of glutathione analogues with hydra attenuata gamma-glutamyltransferase.,gamma-glutamyltransferase interacts with glutathione analogues,1,train
266,P3366,the stereochemical definition of the isomers 3-6 should prove useful in investigations of the biotransformation of the glutathione (gsh) conjugates of styrene oxide.,glutathione interacts with styrene oxide,0,train
1335,P4435,"nanomolar amounts of transforming growth factor-beta induced 2-3-fold perlecan mrna and protein core levels in normal human skin fibroblasts, and this induction was transcriptionally regulated; in contrast, tumor necrosis factor-alpha had no effect and was incapable of counteracting the effects of tgf-beta.",transforming growth factor-beta stimulates protein,1,train
1145,P4245,"the effect of somatostatin was nontoxic as judged by preserved albumin synthesis, a marker for differentiated hepatocyte function.",somatostatin interacts with albumin,0,train
2044,P5144,[possibility of detection in rats of a separate from tissue malignancy factor in mammary carcinoma produced with synestrol].,tissue malignancy factor interacts with synestrol,1,train
1317,P4417,group b proteins inhibited trypsin strongly and chymotrypsin slightly less effectively.,b proteins inhibits chymotrypsin,1,train
1308,P4408,"the effect of daily treatments with 70% ethanol and with 0.5% chlorhexidine in 70% ethanol, respectively, on navel colonization in newborns has been studied in 624 infants in two maternity wards during a four-month period.",chlorhexidine interacts with ethanol,0,train
2541,P5641,"the inhibitory effects of iodoacetate, iodoacetamide, p-hydroxymercuribenzoate and sarkomycin were studied in a partially purified preparation of deoxyribonucleic acid nucleotidyltransferase from landschutz ascites-tumour cells.",iodoacetamide inhibits iodoacetate,0,train
1886,P4986,these results provide evidence that elevated levels of central crf may trigger crf1 receptor transcription selectively in the pvn.,crf interacts with crf1 receptor,1,train
1807,P4907,"with propionamide as the acyl donor apparently anomalous results, which included inequalities in certain kinetic constants and a hyperbolic dependence of the partition ratio on the hydroxylamine concentration, could be explained by postulating a compulsory isomerisation of the acyl-enzyme intermediate prior to the transfer reaction.",propionamide interacts with hydroxylamine,0,train
394,P3494,"(2) ads showed a concentration-dependent inhibition effect on net water, sodium and chloride absorption and stimulated secretion at concentrations higher than 100 mg%.",chloride stimulates ads,0,train
630,P3730,"inhibition of gaba transaminase which led to a several-fold increase of gaba levels in the goldfish optic tectum or diazepam pre-treatment, were unable to protect tectal neurons from kainic acid neurotoxicity, as judged by light and electron microscopic observations and by the drop of marker enzymes for neurotransmitters.",gaba transaminase stimulates gaba,0,train
205,P3305,"with the treatment, the anion gap and organic acids decreased by 16.1 and 14.7 meq/l, respectively, but the serum co2 increased only by 8.4 mmol/l; serum electrolyte balance was maintained by increase in chloride concentration.",organic acids stimulates chloride,0,train
2368,P5468,antihistaminic activity of adrenergic beta-receptors blocking drugs.,adrenergic beta-receptors inhibits drugs,0,train
2122,P5222,[effect of epsilon-aminocapronic acid on fibrinolysis of euglobulins activated by endogenous activators of plasminogen].,euglobulins stimulates plasminogen,0,train
1989,P5089,potentiating effect of chlorothiazide (diuril) in combination with antihypertensive agents; preliminary report.,antihypertensive agents interacts with diuril,1,train
2712,P5812,an electron microscopic study of the interaction of macroglobulin (igm) antibodies with bacterial flagella and of the binding of complement.,antibodies interacts with complement,1,train
820,P3920,"the effect of lowering intracellular glutathione (gsh) concentrations on the toxicity of alkylating agents, and rna synthesis inhibitor and topoisomerase 1 and 2 inhibitors to a number of human leukaemic cell lines were evaluated.",topoisomerase interacts with glutathione,0,train
1123,P4223,"we extend these findings for pentyldnm and observed that glucosidase inhibitors, cas and pentyldnm were effective in inhibiting cd2 and cd3 monoclonal antibody (mab) driven ig production.",monoclonal antibody stimulates ig,1,train
169,P3269,"one interpretation of these data is that acute exercise promotes a redistribution in lymphocyte subsets, and that it is this redistribution that is the basis of both the impairment in lymphocyte responsiveness to mitogens and the increase in lymphocyte metabolic capacity, especially glutamine oxidation.",mitogens interacts with glutamine,0,train
2063,P5163,"respiratory effects of anaesthetics; the effects of thiopentone, nisentil and levallorphan on the respiration.",levallorphan interacts with anaesthetics,1,train
614,P3714,retinoid metabolism in spontaneously transformed mouse fibroblasts (balb/c 3t12-3 cells): enzymatic conversion of retinol to anhydroretinol.,retinol interacts with anhydroretinol,0,train
736,P3836,"antiserum generated in rabbit against a synthetic decapeptide, as inferred from one of the tryptic peptides and conjugated to ovalbumin, specifically cross-reacted with the methyltransferase protein in western blots developed after sds-polyacrylamide electrophoresis.",tryptic interacts with ovalbumin,0,train
499,P3599,these results indicate that ethanol modified the activity of pituitary-adrenal-axis during stress and probably the stress-protective action of ethanol partly performed with the involvement of dsip.,ethanol interacts with dsip,1,train
1943,P5043,the convulsant effect of hydrazides and the antidotal effect of anticonvulsants and metabolites.,antidotal interacts with anticonvulsants,0,train
1153,P4253,"in t84 cells, we investigated how stimulation of protein kinase c leads to an inhibition of camp-dependent chloride secretion.",protein kinase c inhibits chloride,1,train
2201,P5301,[diminution of hepatic polysaccharide phosphorylase in hyperthyroidism caused by triiodothyronine. i. phosphokinase activation of the enzyme].,hepatic polysaccharide phosphorylase interacts with triiodothyronine,1,train
1780,P4880,exposure of human erythrocyte ghosts to 0.2-5 mm periodate at 0 c for 15 min resulted in an increase of thiobarbituric acid-reactive substances and fluorescent materials in the membrane.,periodate stimulates thiobarbituric acid-reactive substances,1,train
589,P3689,"l-glu and ka induced 45ca2+ influx, which was decreased by kyn and cnqx.",cnqx inhibits l-glu,0,train
2038,P5138,"the effect of triamcinolone and 2,4-dinitrophenol on the adenosinetriphosphatase activity and the p32 atp exchange reaction of fresh liver mitochondria.",4-dinitrophenol interacts with triamcinolone,0,train
2760,P5860,"the pressor effects of intravenous adrenaline, noradrenaline and dimethylphenylpiperazinium iodide increase less than the corresponding nictitating membrane responses.",pressor interacts with adrenaline,0,train
58,P3158,"this failure of complete conversion from high- to low-affinity state was also seen in membranes from rat testes under the same experimental conditions and, moreover, in guinea-pig brain membranes under different experimental conditions, such as in the presence of na+ or when free mg2+ has been reduced by edta.",edta inhibits mg2,0,train
2028,P5128,an investigation of the role of fumarate and pyridine nucleotides in the enzymic 11beta-hydroxylation of 11-deoxycorticosterone.,pyridine nucleotides interacts with 11-deoxycorticosterone,1,train
245,P3345,"those experiments also showed that single administration of diltiazem did not significantly influence the ethanol level in the blood; however, when administered repeatedly, diltiazem reduced the concentration of ethanol in blood.",diltiazem inhibits ethanol,1,train
1841,P4941,the chemotactic activity of human c5a des arg is enhanced significantly by an anionic polypeptide (cochemotaxin) in normal human serum and plasma.,polypeptide stimulates c5a des arg,1,train
344,P3444,"these results suggest that at least one amino group, one tyrosine and two to four tryptophans are involved in the mg2+-dependent binding or hydrolysis of atp.",tryptophans stimulates atp,1,train
486,P3586,frusemide increased faecal potassium during the 48 h following administration and faecal water in the 24/48 h period.,frusemide stimulates water,1,train
201,P3301,recombinant human sigma-adh exhibited high catalytic efficiency for oxidation of all-trans-retinol to all-trans-retinal.,adh interacts with retinol,1,train
1516,P4616,"binding of the mab to cytoskeletal proteins was inhibited by glcnac conjugated with bsa in a dose-dependent manner, and the mab preferentially reacted with high-density glcnac-bsa conjugates.",mab interacts with cytoskeletal proteins,1,train
17,P3117,the effect of the following variables on insulin loss from total parenteral nutrient solutions was examined: (1) time of infusion sample; (2) insulin concentration; (3) amino acid or polypeptide source; (4) electrolytes and vitamins; (5) inline filters; (6) glass and polyvinyl chloride (pvc) infusion containers; and (7) human albumin.,amino acid interacts with insulin,0,train
2531,P5631,"dopamine, epinine, norphenylephrine, phenylephrine, octopamine, synephrine and isoprenaline in the absence of monoamine oxidase inhibition had no effect.",isoprenaline inhibits monoamine oxidase,0,train
1533,P4633,"these results show that the alpha 1-adrenoceptor in rabbit ccp has a relatively low affinity for wb4101, 5-methylurapidil, tamsulosin and oxymetazoline and is sensitive to inactivation by chloroethylclonidine.",tamsulosin interacts with chloroethylclonidine,0,train
1512,P4612,the mechanism of activation of human plasminogen by streptokinase.,streptokinase stimulates plasminogen,1,train
167,P3267,thus the ability of receptor to interact with factor(s) is encoded by the dna and/or steroid binding domains.,receptor interacts with factor(s,1,train
2209,P5309,the influence of anaesthetic agents on the formation of methaemoglobin induced by aniline in cats.,methaemoglobin interacts with anaesthetic agents,1,train
1115,P4215,"background: among the members of the small leucine-rich proteoglycan family, decorin, biglycan, and fibromodulin have been proposed to be potent modulators of transforming growth factor-beta (tgf-beta) activity, thereby playing an important role in the pathogenesis of fibrotic kidney diseases.",fibromodulin interacts with transforming growth factor-beta,1,train
944,P4044,"most of the studies of water and electrolyte balance have been performed on full teren balancing the hydration and electrolyte status of all infants, it is most important to relate the treatment regimen to the infant's gestational age and weight, and to make appropriate adjustments for various environmental conditions which affect water and salt requirements, such as phototherapy, type of warmer, and humidity.",electrolyte interacts with water,0,train
711,P3811,growth hormone (gh) stimulates insulin-like growth factor-i (igf-i) and igf-binding protein (igfbp)-2 gene expression in spleens of juvenile rats.,growth hormone stimulates insulin-like growth factor-i,1,train
774,P3874,the inhibitory effect of tg on gene expression is not duplicated by thyroid hormones or iodide and may be mediated by a tg-binding protein on the apical membrane.,binding protein interacts with iodide,0,train
132,P3232,"an antifungal antibiotic (s) 2-amino-4-oxo-5-hydroxypentanoic acid, inhibited the biosynthesis of the aspartate family of amino acids (methionine, isoleucine and threonine) followed by the inhibition of protein biosynthesis in saccharomyces cerevisiae.",2-amino-4-oxo-5-hydroxypentanoic acid inhibits aspartate,1,train
816,P3916,"both nep-a and nep-b are sensitive to treatments with trypsin, sodium carbonate, and detergents, but can be distinguished from each other by their sensitivities to high salt and n-ethylmaleimide and by their levels of alpha-glucosidase activity.",nep-b interacts with trypsin,1,train
1137,P4237,"atserk1 phosphorylation on myelin basic protein and casein showed tyrosine, serine, and threonine as targets, demonstrating that atserk1 is a dual specificity kinase.",serine interacts with atserk1,1,train
2611,P5711,utilization of precursor steroids in placental progesterone synthesis.,steroids interacts with progesterone,1,train
101,P3201,effects of cholera enterotoxin on intestinal tissue water as measured by nuclear magnetic resonance (nmr) spectroscopy: ii.,cholera enterotoxin interacts with water,1,train
1495,P4595,irak1b can activate the transcription factor nuclear factor kappab and interacts with the il-1 signaling factors toll-interacting protein and tumor necrosis factor receptor-associated factor 6.,irak1b interacts with tumor necrosis factor receptor-associated,1,train
1764,P4864,vasoactive intestinal peptide and secretin increased cellular camp and pepsinogen secretion in dispersed chief cells from guinea pig gastric mucosa.,secretin stimulates camp,1,train
415,P3515,the effects of depletion of cellular glutathione (gsh) on the sensitivity of cultured emt6/sf cells to chemotherapy agents or x rays under hypoxic and aerated conditions were investigated.,glutathione interacts with x rays,0,train
2153,P5253,estrogen regulation of the dehydrogenase enzymes of the adrenal cortex.,estrogen interacts with dehydrogenase,1,train
51,P3151,these results provide support for the hypothesis that eaa mechanisms operate in the hypothalamus to regulate the release of peptides and catecholamines which control the secretion of lh and prolactin from the pituitary gland; different sub-types of eaa receptors are involved in the control of the two pituitary hormones.,peptides interacts with lh,1,train
1227,P4327,"proteolytic cleavage of bovine fibrinogen with covalently bound methotrexate (mtx) was studied using four different proteolytic enzymes--trypsin, chymotrypsin, pepsin, and cathepsin d and the interaction of the modified fibrinogen (or fibrin) with hela cells was investigated.",chymotrypsin interacts with fibrin,0,train
1270,P4370,"aminoguanidine (ag), an amine oxidase inhibitor, and reduced form of glutathione abolished this effect demonstrating that the spermine-fbs action was amine oxidase-mediated.",amine oxidase inhibitor inhibits glutathione,0,train
1917,P5017,"inhibition of hiv-1 rna-dependent dna polymerase and cellular dna polymerases alpha, beta and gamma by phosphonoformic acid and other drugs.",drugs inhibits rna-dependent dna polymerase,0,train
295,P3395,"inhibition of tsase by fura was modulated by leucovorin (lv), and the incorporation of fura into rna was increased by the administration of otherwise lethal doses of fura followed by uridine ""rescue"".",leucovorin interacts with fura,1,train
2357,P5457,derivatives of 5-bromouridine as substrates for ribonuclease and polynucleotid phosphorylase.,5-bromouridine interacts with phosphorylase,1,train
2814,P5914,antibiotics and intestinal flora with a study of terramycin effect on intestinal flora.,antibiotics interacts with terramycin,0,train
365,P3465,there were no strain differences for lactoferrin; 10557 bound significantly more lysozyme at ul and ur.,lactoferrin interacts with lysozyme,0,train
992,P4092,"the isolate was positive for catalase, oxidase, nitrate reduction, and urease.",oxidase inhibits nitrate,0,train
467,P3567,"the results demonstrate that igf-i is dispensable beyond the r-point (2-3 hours before s phase), the time when serum factors are no longer necessary for the initiation of dna synthesis, and that igf-i regulates transcriptional events necessary for both dna synthesis and the induction of thymidine kinase and in vivo thymidylate synthase.",igf-i stimulates thymidylate synthase,0,train
1445,P4545,"for the role of oxygen radicals, superoxide dismutase (sod), catalase (cat), and dimethylthiourea (dmtu) were employed to scavenge superoxide anion, hydrogen peroxide, and hydroxyl radical, respectively.",dimethylthiourea inhibits hydrogen peroxide,1,train
389,P3489,"n-methyl-d, l-aspartate stimulates growth hormone but not luteinizing hormone secretion in the sheep.",l-aspartate stimulates growth hormone,1,train
2133,P5233,the interaction of aromatic mitro-compounds with amino-acids and proteins.,proteins interacts with aromatic mitro-compounds,1,train
64,P3164,serum llh was activated by thiol compounds and edta and strongly inhibited by sulfhydryl reagents whereas serum lph was inhibited by sulfhydryl reagents but not activated by thiol compounds or edta.,edta stimulates llh,1,train
1640,P4740,"in 9-month-old castrated males, estrogen decreased lh concentrations during the first 48 h of daily treatment, but after this, lh increased and returned to pretreatment levels by 88 h.",estrogen inhibits lh,1,train
2989,P6089,the relationship of estrogen and of pituitary hormones to the metabolic effects of progesterone.,pituitary hormones interacts with progesterone,1,train
2958,P6058,"possible alternative c(4) products formed prior to succinate are not completely excluded, but it appears that the cells can utilize the succinate condensation as a major pathway in acetate oxidation.",succinate interacts with acetate,1,train
1771,P4871,lectins conjugated to chemotherapeutic agents has been found to be more useful in the treatment of tumours induced in animals.,lectins interacts with chemotherapeutic agents,1,train
2564,P5664,inhibition of interferon synthesis by triethylenemelamine and 4-nitroquinoline-n-oxide.,triethylenemelamine inhibits interferon,0,train
2724,P5824,the coagulation defect in hemophilia with particular reference to the conversion of prothrombin to thrombin and the evolution of the prothrombin conversion accelerator.,prothrombin interacts with thrombin,0,train
108,P3208,"the results indicate that serotonin and its direct precursor, 5-htp, affect calcitonin secretion by rat thyroid c cells by distinct mechanisms.",5-htp interacts with calcitonin,1,train
1110,P4210,testosterone secretion was only affected by melatonin when cells were stimulated with lh.,melatonin interacts with testosterone,1,train
479,P3579,l-arginine significantly prevented the effect of nolag on normocapnic cbf as well as blood pressure and also abolished its inhibitory effect on hypercapnic cbf.,nolag interacts with cbf,1,train
